Index        TIME         {V(VOUT)+2.0}     {V(IN)+2.0}      {V(1)+2.0}
315     3.00522487e-06   6.42523881e+00   2.02884399e+00   2.22486778e+00   
316     3.00525160e-06   6.42509131e+00   2.03572096e+00   2.25159527e+00   
317     3.00527832e-06   6.42490953e+00   2.04320617e+00   2.27832276e+00   
318     3.00530505e-06   6.42469181e+00   2.05128097e+00   2.30505025e+00   
319     3.00535851e-06   6.42416824e+00   2.06875062e+00   2.35850523e+00   
320     3.00540268e-06   6.42357489e+00   2.08541513e+00   2.40268356e+00   
321     3.00544686e-06   6.42286957e+00   2.10344570e+00   2.44686188e+00   
322     3.00549104e-06   6.42205050e+00   2.12277448e+00   2.49104021e+00   
323     3.00557940e-06   6.42014291e+00   2.16426394e+00   2.57939685e+00   
324     3.00565480e-06   6.41801740e+00   2.20456479e+00   2.65480287e+00   
325     3.00573021e-06   6.41556045e+00   2.24773960e+00   2.73020889e+00   
326     3.00580561e-06   6.41277501e+00   2.29355306e+00   2.80561491e+00   
327     3.00595643e-06   6.40643180e+00   2.39068268e+00   2.95642694e+00   
328     3.00608274e-06   6.39978248e+00   2.48084517e+00   3.08274315e+00   
329     3.00619643e-06   6.39307890e+00   2.56584713e+00   3.19642773e+00   
330     3.00631011e-06   6.38564486e+00   2.65424786e+00   3.31011232e+00   
331     3.00642380e-06   6.37746088e+00   2.74564462e+00   3.42379690e+00   
332     3.00665117e-06   6.35912673e+00   2.93436665e+00   3.65116607e+00   
333     3.00682640e-06   6.34188675e+00   3.09015264e+00   3.82639872e+00   
334     3.00684691e-06   6.33983409e+00   3.10892502e+00   3.84691005e+00   
335     3.00686496e-06   6.33799767e+00   3.12564923e+00   3.86496178e+00   
336     3.00688301e-06   6.33612970e+00   3.14257806e+00   3.88301351e+00   
337     3.00691912e-06   6.33226022e+00   3.17707047e+00   3.91911696e+00   
338     3.00695522e-06   6.32824826e+00   3.21241419e+00   3.95522042e+00   
339     3.00699132e-06   6.32408261e+00   3.24862100e+00   3.99132388e+00   
340     3.00706353e-06   6.31508688e+00   3.32359822e+00   4.06353079e+00   
341     3.00707744e-06   6.31332777e+00   3.33855178e+00   4.07744433e+00   
342     3.00708440e-06   6.31244113e+00   3.34607262e+00   4.08440111e+00   
343     3.00708788e-06   6.31199599e+00   3.34984662e+00   4.08787949e+00   
344     3.00709044e-06   6.31166709e+00   3.35263140e+00   4.09044167e+00   
345     3.00709219e-06   6.31144225e+00   3.35453309e+00   4.09218952e+00   
346     3.00709394e-06   6.31121692e+00   3.35643293e+00   4.09393736e+00   
347     3.00709527e-06   6.31104532e+00   3.35787526e+00   4.09526609e+00   
348     3.00709646e-06   6.31089065e+00   3.35917232e+00   4.09646196e+00   
349     3.00709766e-06   6.31073574e+00   3.36046860e+00   4.09765782e+00   
350     3.00710005e-06   6.31042495e+00   3.36305919e+00   4.10004955e+00   
