Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
188      9.21590000e-06   -4.72975243e-01    8.43424566e-05   -4.73059586e-04   -4.73059586e-04    4.73059586e-04
189      9.26710000e-06   -4.44391286e-01    7.29641718e-05   -4.44464250e-04   -4.44464250e-04    4.44464250e-04
190      9.31830000e-06   -4.15347466e-01    6.23296810e-05   -4.15409796e-04   -4.15409796e-04    4.15409796e-04
191      9.36950000e-06   -3.85873839e-01    5.24499680e-05   -3.85926289e-04   -3.85926289e-04    3.85926289e-04
192      9.42070000e-06   -3.56000905e-01    4.33352355e-05   -3.56044240e-04   -3.56044240e-04    3.56044240e-04
193      9.47190000e-06   -3.25759576e-01    3.49948945e-05   -3.25794571e-04   -3.25794571e-04    3.25794571e-04
194      9.52310000e-06   -2.95181146e-01    2.74375547e-05   -2.95208584e-04   -2.95208584e-04    2.95208584e-04
195      9.57430000e-06   -2.64297259e-01    2.06710157e-05   -2.64317930e-04   -2.64317930e-04    2.64317930e-04
196      9.62550000e-06   -2.33139873e-01    1.47022586e-05   -2.33154576e-04   -2.33154576e-04    2.33154576e-04
197      9.67670000e-06   -2.01741231e-01    9.53743892e-06   -2.01750769e-04   -2.01750769e-04    2.01750769e-04
198      9.72790000e-06   -1.70133825e-01    5.18188035e-06   -1.70139007e-04   -1.70139007e-04    1.70139007e-04
199      9.77910000e-06   -1.38350361e-01    1.64006911e-06   -1.38352001e-04   -1.38352001e-04    1.38352001e-04
200      9.83030000e-06   -1.06423731e-01   -1.08435065e-06   -1.06422647e-04   -1.06422647e-04    1.06422647e-04
201      9.88150000e-06   -7.43869721e-02   -2.98858063e-06   -7.43839835e-05   -7.43839835e-05    7.43839835e-05
202      9.93270000e-06   -4.22732364e-02   -4.07067127e-06   -4.22691657e-05   -4.22691657e-05    4.22691657e-05
203      9.98390000e-06   -1.01157558e-02   -4.32952378e-06   -1.01114263e-05   -1.01114263e-05    1.01114263e-05
204      1.00000000e-05   -2.44929318e-16   -4.32948893e-06    4.32948893e-09    4.32948893e-09   -4.32948893e-09
End of Xyce(TM) Simulation
