Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
317     -1.65000000e+00    2.00000000e+00    3.49029571e+00   -9.79779388e-04
318     -1.70000000e+00    2.00000000e+00    3.68368125e+00   -9.87670921e-04
319     -1.75000000e+00    2.00000000e+00    3.87706538e+00   -9.94647835e-04
320     -1.80000000e+00    2.00000000e+00    4.07044818e+00   -1.00079046e-03
321     -1.85000000e+00    2.00000000e+00    4.26382972e+00   -1.00617402e-03
322     -1.90000000e+00    2.00000000e+00    4.45721008e+00   -1.01086946e-03
323     -1.95000000e+00    2.00000000e+00    4.65058932e+00   -1.01494177e-03
324     -2.00000000e+00    2.00000000e+00    4.84396748e+00   -1.01844834e-03
325     -2.05000000e+00    2.00000000e+00    5.03734530e+00   -1.02141333e-03
326     -2.10000000e+00    2.00000000e+00    5.23072295e+00   -1.02388159e-03
327     -2.15000000e+00    2.00000000e+00    5.42409978e+00   -1.02592097e-03
328     -2.20000000e+00    2.00000000e+00    5.61747580e+00   -1.02756785e-03
329     -2.25000000e+00    2.00000000e+00    5.81085105e+00   -1.02885468e-03
330     -2.30000000e+00    2.00000000e+00    6.00422555e+00   -1.02981097e-03
331     -2.35000000e+00    2.00000000e+00    6.19759934e+00   -1.03046357e-03
332     -2.40000000e+00    2.00000000e+00    6.39097245e+00   -1.03083697e-03
333     -2.45000000e+00    2.00000000e+00    6.58434489e+00   -1.03095348e-03
334     -2.50000000e+00    2.00000000e+00    6.77771669e+00   -1.03083346e-03
335     -2.55000000e+00    2.00000000e+00    6.97108788e+00   -1.03049547e-03
336     -2.60000000e+00    2.00000000e+00    7.16445847e+00   -1.02995647e-03
337     -2.65000000e+00    2.00000000e+00    7.35782848e+00   -1.02923194e-03
338     -2.70000000e+00    2.00000000e+00    7.55119793e+00   -1.02833606e-03
339     -2.75000000e+00    2.00000000e+00    7.74456683e+00   -1.02728182e-03
340     -2.80000000e+00    2.00000000e+00    7.93793521e+00   -1.02608110e-03
341     -2.85000000e+00    2.00000000e+00    8.13130306e+00   -1.02474485e-03
342     -2.90000000e+00    2.00000000e+00    8.32467042e+00   -1.02328309e-03
343     -2.95000000e+00    2.00000000e+00    8.51803728e+00   -1.02170507e-03
