Index        TIME               V(VOUT)              V(IN)               V(1)        
250      4.5111287095e-06    7.4697742494e-01    2.5767816287e+00    2.5550517496e+00
251      4.5111905521e-06    7.7660879684e-01    2.5361108972e+00    2.5142356392e+00
252      4.5112523947e-06    8.0839492757e-01    2.4954144995e+00    2.4734195289e+00
253      4.5113142372e-06    8.4256815332e-01    2.4546908047e+00    2.4326034185e+00
254      4.5113760798e-06    8.7939903394e-01    2.4139387858e+00    2.3917873081e+00
255      4.5114379224e-06    9.1918221837e-01    2.3731598531e+00    2.3509711978e+00
256      4.5114997650e-06    9.6220774510e-01    2.3323602620e+00    2.3101550874e+00
257      4.5115616076e-06    1.0087153685e+00    2.2915533005e+00    2.2693389770e+00
258      4.5116234502e-06    1.0588368872e+00    2.2507589745e+00    2.2285228667e+00
259      4.5116852928e-06    1.1125451726e+00    2.2099987903e+00    2.1877067563e+00
260      4.5117471354e-06    1.1696351846e+00    2.1692867819e+00    2.1468906459e+00
261      4.5118089780e-06    1.2297505284e+00    2.1286222415e+00    2.1060745355e+00
262      4.5118708206e-06    1.2924422142e+00    2.0879900962e+00    2.0652584252e+00
263      4.5119326632e-06    1.3572299014e+00    2.0473687546e+00    2.0244423148e+00
264      4.5119945058e-06    1.4236457261e+00    2.0067385288e+00    1.9836262044e+00
265      4.5120563483e-06    1.4912581410e+00    1.9660857311e+00    1.9428100941e+00
266      4.5121800335e-06    1.6285264686e+00    1.8846956661e+00    1.8611778733e+00
267      4.5123037187e-06    1.7664634202e+00    1.8031586962e+00    1.7795456526e+00
268      4.5124221147e-06    1.8966170191e+00    1.7249913315e+00    1.7014042659e+00
269      4.5124813793e-06    1.9604092454e+00    1.6858198847e+00    1.6622896865e+00
270      4.5125406438e-06    2.0226558334e+00    1.6466163247e+00    1.6231751071e+00
271      4.5125926811e-06    2.0756997173e+00    1.6121632492e+00    1.5888304995e+00
272      4.5126387586e-06    2.1210918413e+00    1.5816319848e+00    1.5584193090e+00
273      4.5126797988e-06    2.1600402798e+00    1.5544209507e+00    1.5313327943e+00
274      4.5127167350e-06    2.1937349239e+00    1.5299192457e+00    1.5069549312e+00
275      4.5127499775e-06    2.2228523983e+00    1.5078605512e+00    1.4850148543e+00
276      4.5127798958e-06    2.2480150186e+00    1.4880041546e+00    1.4652687851e+00
277      4.5128098141e-06    2.2721320156e+00    1.4681484744e+00    1.4455227160e+00
278      4.5128397324e-06    2.2951895813e+00    1.4482955538e+00    1.4257766468e+00
279      4.5128666588e-06    2.3150454138e+00    1.4304300778e+00    1.4080051845e+00
280      4.5128935853e-06    2.3342111121e+00    1.4125594754e+00    1.3902337223e+00
281      4.5129474382e-06    2.3696876597e+00    1.3768214849e+00    1.3546907978e+00
282      4.5130012911e-06    2.4020910509e+00    1.3411494513e+00    1.3191478733e+00
283      4.5130551440e-06    2.4316654021e+00    1.3054962511e+00    1.2836049488e+00
284      4.5131089969e-06    2.4588246988e+00    1.2698692246e+00    1.2480620243e+00
285      4.5131628498e-06    2.4838704045e+00    1.2342544309e+00    1.2125190997e+00
286      4.5132167028e-06    2.5071339322e+00    1.1986528594e+00    1.1769761752e+00
287      4.5132705557e-06    2.5288722159e+00    1.1630574761e+00    1.1414332507e+00
288      4.5133244086e-06    2.5493260111e+00    1.1274678282e+00    1.1058903262e+00
289      4.5133782615e-06    2.5686856374e+00    1.0918805806e+00    1.0703474017e+00
290      4.5134321144e-06    2.5871191114e+00    1.0562953185e+00    1.0348044772e+00
291      4.5135398203e-06    2.6217321026e+00    9.8512563315e-01    9.6371862819e-01
292      4.5136475261e-06    2.6539973534e+00    9.1395164674e-01    8.9263277918e-01
293      4.5137552319e-06    2.6845078092e+00    8.4277020320e-01    8.2154693016e-01
294      4.5138629378e-06    2.7136390790e+00    7.7157290205e-01    7.5046108115e-01
295      4.5139706436e-06    2.7416291099e+00    7.0035416785e-01    6.7937523213e-01
296      4.5140783494e-06    2.7685692935e+00    6.2910159174e-01    6.0828938311e-01
297      4.5141860553e-06    2.7944300078e+00    5.5780153538e-01    5.3720353410e-01
