Index       TIME              V(1)            V(RC_OUT)         V(RG_OUT)    
331      4.29000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
332      4.30500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
333      4.32000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
334      4.33500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
335      4.35000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
336      4.36500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
337      4.38000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
338      4.39500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
339      4.41000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
340      4.42500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
341      4.44000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
342      4.45500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
343      4.47000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
344      4.48500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
345      4.50000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
346      4.51500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
347      4.53000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
348      4.54500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
349      4.56000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
350      4.57500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
351      4.59000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
352      4.60500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
353      4.62000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
354      4.63500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
355      4.65000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
356      4.66500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
357      4.68000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
358      4.69500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
359      4.71000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
