Index       TIME             V(VDD)             V(IN)            V(OUT)      
340      2.37025588e-09    1.00000000e+00    2.02558795e-01    1.01891363e+00
341      2.37976124e-09    1.00000000e+00    2.97612423e-01    1.02338668e+00
342      2.38926661e-09    1.00000000e+00    3.92666051e-01    1.01890711e+00
343      2.39877197e-09    1.00000000e+00    4.87719679e-01    9.97802650e-01
344      2.40662097e-09    1.00000000e+00    5.66209694e-01    9.63387805e-01
345      2.40782015e-09    1.00000000e+00    5.78201495e-01    9.55889623e-01
346      2.40901933e-09    1.00000000e+00    5.90193296e-01    9.47969994e-01
347      2.41141769e-09    1.00000000e+00    6.14176898e-01    9.29976333e-01
348      2.41381605e-09    1.00000000e+00    6.38160500e-01    9.09112871e-01
349      2.41621441e-09    1.00000000e+00    6.62144102e-01    8.85471414e-01
350      2.41861277e-09    1.00000000e+00    6.86127704e-01    8.59244452e-01
351      2.42101113e-09    1.00000000e+00    7.10111306e-01    8.30661275e-01
352      2.42340949e-09    1.00000000e+00    7.34094909e-01    7.99949240e-01
353      2.42580785e-09    1.00000000e+00    7.58078511e-01    7.67308851e-01
354      2.42820621e-09    1.00000000e+00    7.82062113e-01    7.32904803e-01
355      2.43300293e-09    1.00000000e+00    8.30029317e-01    6.59412711e-01
356      2.43779965e-09    1.00000000e+00    8.77996521e-01    5.80486747e-01
357      2.44000000e-09    1.00000000e+00    9.00000000e-01    5.42749978e-01
358      2.44023396e-09    1.00000000e+00    9.00584905e-01    5.38255861e-01
359      2.44043126e-09    1.00000000e+00    9.01078159e-01    5.34471621e-01
360      2.44062857e-09    1.00000000e+00    9.01571413e-01    5.30690135e-01
