Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
152      5.20000000e-02    0.00000000e+00    9.01940082e-09    2.97374334e-07    2.97371261e-07    0.00000000e+00    2.92004635e-01    7.48734684e-02
153      5.30000000e-02    0.00000000e+00    9.37669071e-09    3.09062934e-07    3.09067161e-07    0.00000000e+00    2.91993845e-01    7.48748619e-02
154      5.40000000e-02    0.00000000e+00    9.74706698e-09    3.21186356e-07    3.21186858e-07    0.00000000e+00    2.91982959e-01    7.48763064e-02
155      5.50000000e-02    0.00000000e+00    1.01310332e-08    3.33746178e-07    3.33746476e-07    0.00000000e+00    2.91971979e-01    7.48778040e-02
156      5.60000000e-02    0.00000000e+00    1.05291104e-08    3.46763857e-07    3.46762687e-07    0.00000000e+00    2.91960909e-01    7.48793564e-02
157      5.70000000e-02    0.00000000e+00    1.09418375e-08    3.60252698e-07    3.60252731e-07    0.00000000e+00    2.91949751e-01    7.48809656e-02
158      5.80000000e-02    0.00000000e+00    1.13697724e-08    3.74229427e-07    3.74234430e-07    0.00000000e+00    2.91938507e-01    7.48826338e-02
159      5.90000000e-02    0.00000000e+00    1.18134921e-08    3.88727514e-07    3.88726214e-07    0.00000000e+00    2.91927181e-01    7.48843629e-02
160      6.00000000e-02    0.00000000e+00    1.22735936e-08    4.03742292e-07    4.03747141e-07    0.00000000e+00    2.91915774e-01    7.48861552e-02
161      6.10000000e-02    0.00000000e+00    1.27506950e-08    4.19319207e-07    4.19316917e-07    0.00000000e+00    2.91904288e-01    7.48880129e-02
162      6.20000000e-02    0.00000000e+00    1.32454357e-08    4.35462099e-07    4.35455920e-07    0.00000000e+00    2.91892727e-01    7.48899384e-02
163      6.30000000e-02    0.00000000e+00    1.37584773e-08    4.52184898e-07    4.52185224e-07    0.00000000e+00    2.91881092e-01    7.48919341e-02
164      6.40000000e-02    0.00000000e+00    1.42905047e-08    4.69526835e-07    4.69526623e-07    0.00000000e+00    2.91869385e-01    7.48940025e-02
165      6.50000000e-02    0.00000000e+00    1.48422265e-08    4.87503797e-07    4.87502655e-07    0.00000000e+00    2.91857609e-01    7.48961462e-02
